SrcEntity	TgtEntity	Score
http://snomed.info/id/80622005	http://purl.org/sig/ont/fma/fma50867	1.0
http://snomed.info/id/15119000	http://purl.org/sig/ont/fma/fma6720	1.0
http://snomed.info/id/15119000	http://purl.org/sig/ont/fma/fma264801	1.0
http://snomed.info/id/37783008	http://purl.org/sig/ont/fma/fma16579	1.0
http://snomed.info/id/61352006	http://purl.org/sig/ont/fma/fma51061	1.0
http://snomed.info/id/8598002	http://purl.org/sig/ont/fma/fma50869	1.0
http://snomed.info/id/31934006	http://purl.org/sig/ont/fma/fma23260	1.0
http://snomed.info/id/55940004	http://purl.org/sig/ont/fma/fma54970	1.0
http://snomed.info/id/23043003	http://purl.org/sig/ont/fma/fma265256	1.0
http://snomed.info/id/68594002	http://purl.org/sig/ont/fma/fma15632	1.0
http://snomed.info/id/23451007	http://purl.org/sig/ont/fma/fma264816	1.0
http://snomed.info/id/23451007	http://purl.org/sig/ont/fma/fma9604	1.0
http://snomed.info/id/38254008	http://purl.org/sig/ont/fma/fma15633	1.0
http://snomed.info/id/4958002	http://purl.org/sig/ont/fma/fma61841	1.0
http://snomed.info/id/31636006	http://purl.org/sig/ont/fma/fma58078	1.0
http://snomed.info/id/32259006	http://purl.org/sig/ont/fma/fma58865	1.0
http://snomed.info/id/53505006	http://purl.org/sig/ont/fma/fma15711	1.0
http://snomed.info/id/15825003	http://purl.org/sig/ont/fma/fma3734	1.0
http://snomed.info/id/261051005	http://purl.org/sig/ont/fma/fma3734	1.0
http://snomed.info/id/7832008	http://purl.org/sig/ont/fma/fma3789	1.0
http://snomed.info/id/57034009	http://purl.org/sig/ont/fma/fma3768	1.0
http://snomed.info/id/34202007	http://purl.org/sig/ont/fma/fma7236	1.0
http://snomed.info/id/66754008	http://purl.org/sig/ont/fma/fma14542	1.0
http://snomed.info/id/75042008	http://purl.org/sig/ont/fma/fma9591	1.0
http://snomed.info/id/41149000	http://purl.org/sig/ont/fma/fma84354	1.0
http://snomed.info/id/41149000	http://purl.org/sig/ont/fma/fma62329	1.0
http://snomed.info/id/371195002	http://purl.org/sig/ont/fma/fma24139	1.0
http://snomed.info/id/51114001	http://purl.org/sig/ont/fma/fma63812	1.0
http://snomed.info/id/51114001	http://purl.org/sig/ont/fma/fma50720	1.0
http://snomed.info/id/28225005	http://purl.org/sig/ont/fma/fma63182	1.0
http://snomed.info/id/77578007	http://purl.org/sig/ont/fma/fma55109	1.0
http://snomed.info/id/54247002	http://purl.org/sig/ont/fma/fma3736	1.0
http://snomed.info/id/14806007	http://purl.org/sig/ont/fma/fma12519	1.0
http://snomed.info/id/181818007	http://purl.org/sig/ont/fma/fma12519	1.0
http://snomed.info/id/25943004	http://purl.org/sig/ont/fma/fma9478	1.0
http://snomed.info/id/35112002	http://purl.org/sig/ont/fma/fma226221	1.0
http://snomed.info/id/279255008	http://purl.org/sig/ont/fma/fma226221	1.0
http://snomed.info/id/67937003	http://purl.org/sig/ont/fma/fma22654	1.0
http://snomed.info/id/68705008	http://purl.org/sig/ont/fma/fma13329	1.0
http://snomed.info/id/39976000	http://purl.org/sig/ont/fma/fma12520	1.0
http://snomed.info/id/72107004	http://purl.org/sig/ont/fma/fma4838	1.0
http://snomed.info/id/87176006	http://purl.org/sig/ont/fma/fma9598	1.0
http://snomed.info/id/32610002	http://purl.org/sig/ont/fma/fma321900	1.0
http://snomed.info/id/32610002	http://purl.org/sig/ont/fma/fma84013	1.0
http://snomed.info/id/29023000	http://purl.org/sig/ont/fma/fma61887	1.0
http://snomed.info/id/10992007	http://purl.org/sig/ont/fma/fma50990	1.0
http://snomed.info/id/59011009	http://purl.org/sig/ont/fma/fma50542	1.0
http://snomed.info/id/33898000	http://purl.org/sig/ont/fma/fma52858	1.0
http://snomed.info/id/50862003	http://purl.org/sig/ont/fma/fma75706	1.0
http://snomed.info/id/87746007	http://purl.org/sig/ont/fma/fma17547	1.0
http://snomed.info/id/28273000	http://purl.org/sig/ont/fma/fma9706	1.0
http://snomed.info/id/90140006	http://purl.org/sig/ont/fma/fma15766	1.0
http://snomed.info/id/34707002	http://purl.org/sig/ont/fma/fma79646	1.0
http://snomed.info/id/34707002	http://purl.org/sig/ont/fma/fma14665	1.0
http://snomed.info/id/89837001	http://purl.org/sig/ont/fma/fma15900	1.0
http://snomed.info/id/59820001	http://purl.org/sig/ont/fma/fma63183	1.0
http://snomed.info/id/17137000	http://purl.org/sig/ont/fma/fma22689	1.0
http://snomed.info/id/36582005	http://purl.org/sig/ont/fma/fma5906	1.0
http://snomed.info/id/12691009	http://purl.org/sig/ont/fma/fma3932	1.0
http://snomed.info/id/8887007	http://purl.org/sig/ont/fma/fma4723	1.0
http://snomed.info/id/12738006	http://purl.org/sig/ont/fma/fma50801	1.0
http://snomed.info/id/15926001	http://purl.org/sig/ont/fma/fma79876	1.0
http://snomed.info/id/76752008	http://purl.org/sig/ont/fma/fma9601	1.0
http://snomed.info/id/34411009	http://purl.org/sig/ont/fma/fma16516	1.0
http://snomed.info/id/82880006	http://purl.org/sig/ont/fma/fma242176	1.0
http://snomed.info/id/955009	http://purl.org/sig/ont/fma/fma70774	1.0
http://snomed.info/id/955009	http://purl.org/sig/ont/fma/fma7409	1.0
http://snomed.info/id/64468002	http://purl.org/sig/ont/fma/fma68109	1.0
http://snomed.info/id/33594008	http://purl.org/sig/ont/fma/fma7410	1.0
http://snomed.info/id/33594008	http://purl.org/sig/ont/fma/fma76497	1.0
http://snomed.info/id/33594008	http://purl.org/sig/ont/fma/fma323213	1.0
http://snomed.info/id/367597008	http://purl.org/sig/ont/fma/fma7410	1.0
http://snomed.info/id/367597008	http://purl.org/sig/ont/fma/fma76497	1.0
http://snomed.info/id/367597008	http://purl.org/sig/ont/fma/fma323213	1.0
http://snomed.info/id/55214000	http://purl.org/sig/ont/fma/fma7410	1.0
http://snomed.info/id/55214000	http://purl.org/sig/ont/fma/fma76497	1.0
http://snomed.info/id/55214000	http://purl.org/sig/ont/fma/fma323213	1.0
